season,holiday,workingday,weathersit,temp,atemp,hum,windspeed,hr,day,mnth,yr,dayofweek,rush_hour
1,0,0,1,0.2,0.197,0.55,0.2239,11,15,1,0,5,0
4,0,1,1,0.52,0.5,0.42,0.1045,18,25,10,0,1,1
4,0,1,3,0.46,0.4545,1.0,0.2239,3,7,12,0,2,0
2,0,0,2,0.46,0.4545,0.31,0.0,18,3,4,0,6,1
1,0,0,1,0.2,0.2273,0.75,0.1045,6,25,12,0,6,0
2,0,1,1,0.72,0.6515,0.3,0.4925,16,13,6,1,2,1
1,0,1,2,0.22,0.2273,0.87,0.1642,15,18,1,0,1,0
4,0,0,1,0.42,0.4242,0.77,0.2836,4,14,10,1,6,0
1,0,1,1,0.6,0.5758,0.78,0.194,13,20,3,1,1,0
1,0,1,1,0.22,0.197,0.37,0.3284,15,3,2,0,3,0
1,0,1,1,0.24,0.2424,0.75,0.1343,17,28,1,0,4,1
3,0,0,2,0.64,0.5758,0.89,0.194,4,26,8,1,6,0
3,0,1,2,0.6,0.5606,0.83,0.1642,16,20,9,0,1,1
1,0,1,2,0.28,0.2879,0.61,0.1045,13,8,2,1,2,0
2,0,1,1,0.52,0.5,0.29,0.2537,16,27,4,1,4,1
4,0,0,1,0.28,0.2727,0.45,0.2239,16,17,12,0,5,1
2,0,1,1,0.66,0.6212,0.39,0.2239,19,4,4,1,2,1
1,0,1,1,0.3,0.2727,0.61,0.3284,9,7,3,1,2,1
3,0,0,1,0.74,0.6515,0.37,0.1642,18,18,8,1,5,1
1,0,1,1,0.34,0.2879,0.46,0.5224,4,18,1,1,2,0
2,0,1,2,0.52,0.5,0.88,0.3881,13,13,5,0,4,0
2,0,0,1,0.74,0.6667,0.51,0.0,17,5,6,0,6,1
4,0,0,1,0.24,0.2121,0.6,0.3284,6,19,11,0,5,0
2,0,1,1,0.62,0.6061,0.65,0.4179,17,17,5,0,1,1
3,0,1,1,0.54,0.5152,0.83,0.0896,5,31,8,0,2,0
4,0,1,2,0.54,0.5152,0.88,0.1343,8,26,10,1,4,1
4,0,1,1,0.28,0.2727,0.56,0.194,22,5,11,1,0,0
2,0,0,1,0.68,0.6364,0.61,0.1642,23,9,6,1,5,0
4,0,0,2,0.4,0.4091,0.87,0.1045,11,8,12,1,5,0
3,1,0,1,0.68,0.6364,0.65,0.0,7,4,7,1,2,1
3,0,1,1,0.58,0.5455,0.68,0.1343,3,24,8,0,2,0
4,0,1,2,0.34,0.3182,0.66,0.2239,8,15,12,0,3,1
3,0,0,1,0.68,0.6364,0.51,0.1045,0,13,8,0,5,0
4,0,1,2,0.52,0.5,0.88,0.1343,21,25,10,1,3,0
1,0,0,1,0.36,0.3636,0.4,0.1045,12,20,3,0,6,0
3,0,1,1,0.86,0.7424,0.3,0.2836,12,2,8,0,1,0
3,0,1,1,0.7,0.6667,0.84,0.0,3,7,8,1,1,0
1,0,1,1,0.1,0.1061,0.54,0.2537,5,10,1,0,0,0
1,0,1,1,0.12,0.1515,0.54,0.1045,3,13,2,1,0,0
2,0,1,1,0.56,0.5303,0.52,0.2537,10,17,5,1,3,0
2,0,0,1,0.52,0.5,0.77,0.2239,1,21,4,1,5,0
1,0,1,3,0.42,0.4242,0.0,0.2239,13,10,3,0,3,0
4,0,0,2,0.24,0.2273,0.48,0.2239,9,25,11,1,6,1
3,0,0,1,0.68,0.6364,0.47,0.194,22,25,6,0,5,0
2,0,0,1,0.64,0.6212,0.36,0.194,13,12,5,1,5,0
2,0,1,3,0.56,0.5303,0.88,0.1343,19,18,5,0,2,1
3,0,0,2,0.82,0.7727,0.52,0.0896,13,1,9,1,5,0
3,0,1,1,0.76,0.7273,0.66,0.2537,17,5,9,1,2,1
4,0,1,1,0.36,0.3333,0.29,0.2537,16,28,11,1,2,1
2,0,1,1,0.72,0.6364,0.25,0.2836,17,3,6,0,4,1
4,0,1,1,0.42,0.4242,0.67,0.0,19,25,11,0,4,1
3,1,0,1,0.86,0.803,0.47,0.2239,19,4,7,1,2,1
4,0,1,1,0.52,0.5,0.55,0.3284,22,30,9,0,4,0
2,0,1,1,0.56,0.5303,0.94,0.2239,4,27,4,0,2,0
2,0,1,1,0.66,0.6212,0.65,0.1642,17,22,3,1,3,1
4,0,1,1,0.42,0.4242,0.35,0.1045,14,16,11,1,4,0
4,0,1,1,0.32,0.3182,0.66,0.194,6,15,12,0,3,0
4,1,0,1,0.52,0.5,0.72,0.1642,11,12,11,1,0,0
4,0,1,3,0.52,0.5,0.77,0.2537,7,19,10,0,2,1
4,0,1,1,0.26,0.2576,0.73,0.2985,19,27,11,1,1,1
3,0,0,1,0.66,0.5909,0.89,0.2985,5,21,8,0,6,0
2,0,1,1,0.34,0.303,0.42,0.3284,9,6,4,1,4,1
3,0,0,2,0.66,0.5909,0.89,0.2836,1,8,9,1,5,0
4,0,1,1,0.24,0.2879,0.65,0.0,8,26,11,1,0,1
4,0,0,1,0.3,0.3182,0.75,0.1045,5,26,11,0,5,0
2,0,1,2,0.4,0.4091,0.76,0.2239,16,23,3,0,2,1
1,0,1,1,0.32,0.3333,0.49,0.0,9,7,2,1,1,1
4,0,0,1,0.6,0.6212,0.33,0.3284,16,23,9,1,6,1
4,0,0,1,0.34,0.3182,0.49,0.2239,9,17,11,1,5,1
3,0,1,2,0.68,0.6364,0.61,0.1045,11,14,9,1,4,0
2,0,1,1,0.36,0.3485,0.37,0.1343,22,27,3,1,1,0
1,0,0,1,0.24,0.2879,0.81,0.0,0,1,1,0,5,0
2,0,1,1,0.4,0.4091,0.82,0.0,5,19,4,1,3,0
2,0,1,1,0.42,0.4242,0.54,0.0,2,7,4,0,3,0
1,0,1,2,0.3,0.2727,0.56,0.3881,12,21,2,1,1,0
1,0,1,1,0.3,0.3333,0.7,0.0,7,2,3,1,4,1
1,0,1,1,0.34,0.3182,0.57,0.2239,10,28,12,0,2,0
2,0,1,3,0.44,0.4394,0.77,0.2239,18,12,4,0,1,1
4,0,1,2,0.52,0.5,0.52,0.3284,14,15,12,0,3,0
4,0,1,1,0.34,0.3333,0.49,0.194,21,16,11,1,4,0
4,0,1,1,0.2,0.2576,0.69,0.0,2,12,12,0,0,0
3,0,0,2,0.64,0.5758,0.83,0.194,6,9,7,0,5,0
4,0,0,1,0.5,0.4848,0.63,0.3582,11,27,11,0,6,0
3,0,1,3,0.82,0.8333,0.63,0.194,23,29,6,1,4,0
2,0,1,2,0.62,0.6212,0.38,0.2537,13,10,5,0,1,0
3,0,0,2,0.74,0.6818,0.58,0.1343,7,1,9,1,5,1
1,0,1,1,0.2,0.2273,0.29,0.0896,11,3,3,0,3,0
1,0,0,1,0.52,0.5,0.42,0.1045,19,7,1,1,5,1
1,0,0,2,0.22,0.2273,0.93,0.1642,23,19,2,1,6,0
2,0,1,1,0.8,0.6818,0.22,0.4925,16,2,6,0,3,1
2,0,1,1,0.66,0.6061,0.83,0.0896,5,20,6,1,2,0
2,0,0,2,0.36,0.3485,0.81,0.1343,9,1,4,1,6,1
3,0,1,3,0.62,0.5152,1.0,0.3284,19,8,9,0,3,1
4,0,0,2,0.3,0.3333,0.87,0.0,22,1,12,1,5,0
3,0,1,1,0.66,0.6212,0.65,0.3582,5,22,8,0,0,0
3,0,1,1,0.54,0.5152,0.52,0.0,23,10,9,1,0,0
2,0,0,1,0.54,0.5152,0.6,0.0,6,4,6,0,5,0
4,0,0,1,0.52,0.5,0.55,0.1343,21,29,9,1,5,0
2,0,1,1,0.56,0.5303,0.88,0.0,8,4,5,1,4,1
4,0,1,3,0.36,0.3333,0.81,0.3582,13,10,11,0,3,0
4,0,1,1,0.4,0.4091,0.24,0.4179,18,8,11,1,3,1
3,0,1,2,0.56,0.5303,0.68,0.2836,0,19,9,1,2,0
1,0,1,1,0.38,0.3939,0.82,0.2239,7,23,12,0,4,1
2,0,1,2,0.56,0.5303,0.88,0.1343,8,22,5,1,1,1
2,0,1,1,0.68,0.6364,0.61,0.3582,17,26,4,0,1,1
2,0,1,1,0.66,0.6212,0.74,0.1343,8,11,6,1,0,1
4,0,1,3,0.44,0.4394,1.0,0.0896,11,7,12,0,2,0
3,0,1,2,0.6,0.5606,0.83,0.2537,6,15,9,0,3,0
3,0,0,1,0.7,0.6667,0.79,0.194,22,14,7,1,5,0
1,0,0,3,0.42,0.4242,0.67,0.3881,19,1,1,1,6,1
1,0,0,2,0.16,0.197,0.59,0.0896,2,15,1,0,5,0
2,0,1,1,0.52,0.5,0.55,0.1045,21,19,4,1,3,0
2,0,1,1,0.6,0.6212,0.4,0.3582,20,4,6,1,0,0
3,0,0,1,0.76,0.6818,0.43,0.2836,12,16,7,0,5,0
3,0,1,1,0.7,0.6515,0.58,0.1045,6,2,7,1,0,0
2,0,1,1,0.5,0.4848,0.51,0.3881,14,4,5,0,2,0
3,0,1,1,0.82,0.7576,0.46,0.194,10,13,7,0,2,0
4,0,1,1,0.58,0.5455,0.64,0.0,8,5,10,1,4,1
2,0,0,1,0.62,0.5909,0.78,0.1045,9,5,5,1,5,1
4,0,1,1,0.32,0.303,0.53,0.2239,23,16,11,1,4,0
4,0,1,1,0.5,0.4848,0.45,0.2239,11,21,10,0,4,0
3,0,1,1,0.68,0.6364,0.83,0.2239,23,6,7,0,2,0
1,0,1,1,0.24,0.2273,0.35,0.194,13,11,2,0,4,0
3,0,0,1,0.8,0.803,0.66,0.1343,10,7,8,0,6,0
4,0,0,1,0.62,0.6212,0.35,0.3881,15,16,10,0,6,0
2,0,1,1,0.58,0.5455,0.83,0.0,8,16,5,1,2,1
4,0,1,2,0.56,0.5303,0.64,0.3284,18,18,10,1,3,1
4,0,1,2,0.42,0.4242,0.54,0.2239,16,31,10,1,2,1
2,0,0,1,0.76,0.7121,0.58,0.2985,18,27,5,1,6,1
1,0,1,1,0.28,0.2727,0.56,0.1642,22,6,3,1,1,0
3,0,1,1,0.82,0.7576,0.46,0.1045,18,23,7,1,0,1
1,0,1,2,0.32,0.3182,0.66,0.194,10,15,3,0,1,0
4,1,0,2,0.42,0.4242,0.58,0.1045,14,8,10,1,0,0
1,0,0,1,0.38,0.3939,0.4,0.2836,0,8,1,1,6,0
4,0,1,1,0.44,0.4394,0.41,0.194,12,21,11,1,2,0
4,0,0,1,0.3,0.3333,0.81,0.0,9,4,12,0,6,1
3,0,1,1,0.72,0.697,0.74,0.1343,10,7,9,1,4,0
3,0,1,2,0.82,0.7576,0.46,0.2537,20,2,8,0,1,0
4,0,1,1,0.54,0.5152,0.73,0.1045,23,23,10,1,1,0
2,0,0,2,0.66,0.6212,0.36,0.194,17,12,5,1,5,1
4,0,1,1,0.24,0.2879,0.65,0.0,7,26,11,1,0,1
4,0,0,1,0.52,0.5,0.59,0.2537,4,29,9,1,5,0
1,0,1,1,0.24,0.2879,0.65,0.0,0,7,2,0,0,0
1,0,1,1,0.32,0.2879,0.42,0.3582,4,28,2,1,1,0
3,0,1,2,0.82,0.7879,0.56,0.2836,15,22,6,0,2,0
1,0,0,1,0.2,0.2121,0.37,0.1343,7,29,1,1,6,1
2,0,0,1,0.64,0.6061,0.73,0.0896,8,10,6,1,6,1
2,0,1,1,0.5,0.4848,0.55,0.2239,0,19,4,0,1,0
2,0,1,1,0.62,0.6212,0.53,0.0,23,15,6,0,2,0
3,0,1,1,0.72,0.6515,0.3,0.1045,13,23,8,0,1,0
3,0,1,1,0.82,0.7424,0.43,0.2239,10,3,7,1,1,0
4,1,0,1,0.4,0.4091,0.76,0.0896,4,12,11,1,0,0
4,0,1,2,0.5,0.4848,0.72,0.1642,11,24,10,0,0,0
3,0,1,1,0.74,0.697,0.66,0.0896,0,19,7,1,3,0
2,0,1,2,0.5,0.4848,0.88,0.1642,9,21,3,1,2,1
2,0,1,2,0.5,0.4848,0.63,0.1343,1,1,5,1,1,0
2,0,1,3,0.56,0.5303,0.94,0.0,4,15,5,1,1,0
3,0,0,1,0.86,0.7727,0.39,0.2537,14,28,7,1,5,0
1,0,0,1,0.34,0.3333,0.81,0.1343,8,31,12,0,5,1
1,0,0,1,0.16,0.1818,0.64,0.1343,9,15,1,0,5,1
1,0,0,1,0.12,0.1212,0.36,0.2537,20,8,1,0,5,0
1,0,1,1,0.2,0.2576,0.8,0.0,2,7,2,0,0,0
1,0,1,2,0.34,0.303,0.93,0.2985,8,28,2,0,0,1
3,0,1,2,0.7,0.6667,0.74,0.1343,23,18,8,0,3,0
2,0,1,3,0.56,0.5303,0.88,0.1642,2,23,5,0,0,0
4,0,0,3,0.4,0.4091,0.82,0.3582,9,1,10,0,5,1
1,0,1,1,0.36,0.3333,0.43,0.2537,11,27,2,1,0,0
4,0,0,1,0.44,0.4394,0.72,0.0,5,30,9,1,6,0
4,0,1,2,0.42,0.4242,0.94,0.2537,20,17,12,1,0,0
3,0,1,3,0.7,0.6667,0.89,0.1045,1,9,7,1,0,0
4,0,1,2,0.4,0.4091,0.87,0.0,1,10,11,0,3,0
4,0,1,1,0.36,0.3333,0.46,0.4179,8,16,12,0,4,1
4,0,0,1,0.4,0.4091,0.62,0.0,22,13,10,1,5,0
1,0,1,1,0.54,0.5152,0.42,0.3582,19,7,3,1,2,1
4,0,1,1,0.38,0.3939,0.87,0.0,3,3,12,1,0,0
3,0,1,2,0.74,0.7121,0.74,0.2239,19,21,6,0,1,1
1,0,1,1,0.2,0.2273,0.69,0.1045,5,8,3,0,1,0
1,0,1,1,0.26,0.2727,0.81,0.1045,23,10,1,1,1,0
1,0,0,1,0.42,0.4242,0.54,0.0896,19,12,3,0,5,1
3,0,1,1,0.82,0.803,0.59,0.0,11,19,7,0,1,0
1,0,0,1,0.56,0.5303,0.64,0.0896,17,18,3,1,6,1
3,0,1,1,0.58,0.5455,0.46,0.4179,9,26,6,1,1,1
2,0,1,2,0.6,0.6212,0.53,0.3284,13,7,5,1,0,0
4,0,1,2,0.3,0.2879,0.45,0.2836,4,8,11,1,3,0
1,0,0,1,0.24,0.2273,0.65,0.194,2,12,3,0,5,0
4,0,1,3,0.32,0.303,0.81,0.3284,9,13,11,1,1,1
4,0,1,1,0.34,0.3636,0.76,0.0,1,25,11,0,4,0
1,0,0,1,0.36,0.3333,0.46,0.2836,20,20,3,0,6,0
3,0,0,1,0.58,0.5455,0.6,0.1343,9,16,9,1,6,1
4,0,1,1,0.52,0.5,0.39,0.2239,14,25,11,0,4,0
4,0,1,1,0.5,0.4848,0.55,0.194,8,24,9,1,0,1
2,0,1,2,0.62,0.5909,0.73,0.1642,15,14,5,1,0,0
1,0,1,1,0.46,0.4545,0.77,0.2537,9,1,3,1,3,1
1,0,0,1,0.36,0.3788,0.66,0.0,0,1,1,1,6,0
3,0,1,1,0.56,0.5303,0.73,0.0896,0,14,9,1,4,0
4,0,1,1,0.52,0.5,0.83,0.1045,3,30,9,0,4,0
3,0,0,1,0.8,0.7273,0.46,0.194,16,20,8,0,5,1
1,1,0,2,0.18,0.197,0.43,0.1642,5,17,1,0,0,0
1,0,1,1,0.42,0.4242,0.67,0.2239,20,17,3,0,3,0
3,0,0,1,0.66,0.6212,0.39,0.1343,14,16,9,1,6,0
1,0,1,2,0.28,0.2727,0.48,0.2537,15,4,2,0,4,0
2,0,1,1,0.5,0.4848,0.42,0.3582,14,29,3,1,3,0
3,0,0,2,0.7,0.6667,0.84,0.0,9,2,9,1,6,1
2,0,1,1,0.7,0.6515,0.58,0.1045,12,24,5,1,3,0
4,0,1,2,0.66,0.6212,0.5,0.2239,16,28,9,1,4,1
2,0,1,1,0.72,0.6667,0.48,0.2239,17,14,6,1,3,1
1,1,0,1,0.3,0.2879,0.42,0.2836,13,20,2,1,0,0
4,0,1,1,0.34,0.3485,0.81,0.0896,6,12,10,1,4,0
1,1,0,3,0.14,0.1212,0.93,0.2537,22,17,1,0,0,0
4,0,1,1,0.28,0.3182,0.75,0.0,7,14,12,0,2,1
3,0,0,1,0.9,0.8182,0.37,0.194,11,23,7,0,5,0
4,0,1,1,0.16,0.1818,0.86,0.1343,4,19,12,0,0,0
2,0,0,2,0.32,0.3182,1.0,0.194,1,23,4,0,5,0
4,0,1,1,0.26,0.2424,0.48,0.2836,0,6,12,1,3,0
4,0,1,2,0.54,0.5152,1.0,0.1045,5,13,10,0,3,0
2,0,0,1,0.58,0.5455,0.64,0.1045,7,9,6,1,5,1
4,0,1,2,0.46,0.4545,1.0,0.1343,14,16,11,0,2,0
3,0,1,2,0.66,0.6212,0.69,0.194,7,15,8,1,2,1
2,0,1,2,0.34,0.3182,0.76,0.2239,19,23,4,1,0,1
3,0,1,1,0.8,0.7121,0.38,0.194,16,11,7,1,2,1
4,0,1,3,0.6,0.5758,0.78,0.3284,12,15,10,1,0,0
4,1,0,1,0.42,0.4242,0.71,0.1045,0,12,11,1,0,0
4,0,0,1,0.58,0.5455,0.94,0.0,3,24,9,0,5,0
2,0,1,1,0.6,0.6061,0.64,0.3284,8,14,6,1,3,1
3,0,0,3,0.64,0.5758,0.89,0.8358,17,27,8,0,5,1
4,0,1,2,0.56,0.5303,0.83,0.1343,0,12,10,0,2,0
2,0,1,2,0.34,0.3182,0.46,0.2239,10,30,3,0,2,0
1,0,1,1,0.46,0.4545,0.88,0.1642,2,19,3,1,0,0
4,0,0,1,0.48,0.4697,0.33,0.194,14,13,10,1,5,0
2,0,1,3,0.3,0.303,0.87,0.1343,14,31,3,0,3,0
3,0,1,1,0.82,0.7727,0.52,0.1343,17,23,7,1,0,1
2,0,0,2,0.76,0.6818,0.48,0.0,16,19,6,0,6,1
3,0,0,1,0.74,0.6818,0.48,0.194,19,16,7,0,5,1
4,0,0,2,0.48,0.4697,0.48,0.2239,14,22,10,0,5,0
1,0,0,1,0.2,0.1818,0.32,0.3582,14,15,1,1,6,0
3,0,0,2,0.46,0.4545,0.77,0.194,7,17,9,0,5,1
4,0,1,1,0.28,0.2727,0.48,0.194,20,18,11,0,4,0
4,0,1,2,0.5,0.4848,0.45,0.2836,9,17,10,0,0,1
3,0,0,2,0.84,0.7879,0.49,0.1642,16,1,9,1,5,1
2,0,0,1,0.72,0.6818,0.62,0.2239,13,28,5,0,5,0
1,1,0,1,0.2,0.1818,0.59,0.3582,9,20,2,1,0,1
2,0,0,2,0.54,0.5152,0.83,0.2836,2,6,5,1,6,0
3,0,1,1,0.64,0.6212,0.33,0.0,12,11,9,1,1,0
2,0,1,1,0.62,0.6061,0.21,0.1642,16,3,4,1,1,1
4,0,1,3,0.56,0.5303,1.0,0.1045,9,13,10,0,3,1
2,1,0,1,0.54,0.5152,0.77,0.2239,5,16,4,1,0,0
1,0,1,1,0.2,0.1818,0.32,0.3881,18,8,2,0,1,1
2,0,1,1,0.44,0.4394,0.88,0.1045,6,2,5,0,0,0
2,0,0,1,0.48,0.4697,0.2,0.194,22,7,4,1,5,0
3,0,0,2,0.72,0.697,0.79,0.1642,23,5,8,1,6,0
4,0,1,2,0.62,0.5606,0.88,0.1045,1,26,9,0,0,0
4,0,0,1,0.52,0.5,0.45,0.0,15,10,11,1,5,0
1,0,1,2,0.36,0.3788,0.71,0.0,3,21,12,0,2,0
3,0,1,1,0.66,0.6061,0.83,0.0896,18,8,7,0,4,1
1,0,0,2,0.28,0.2879,0.81,0.1045,0,5,3,0,5,0
1,0,1,1,0.3,0.3182,0.49,0.0,8,7,2,1,1,1
3,0,0,2,0.7,0.6667,0.79,0.194,22,21,8,0,6,0
1,0,0,2,0.14,0.1061,0.39,0.3881,22,11,2,1,5,0
3,0,1,1,0.6,0.5758,0.78,0.1343,8,21,8,1,1,1
2,0,1,1,0.76,0.697,0.55,0.0,9,10,6,0,4,1
4,0,1,1,0.34,0.303,0.46,0.3582,23,8,11,1,3,0
3,0,1,1,0.7,0.6515,0.65,0.194,18,15,8,0,0,1
2,0,1,1,0.68,0.6364,0.79,0.2836,3,29,5,1,1,0
2,0,0,2,0.36,0.3636,0.93,0.0896,5,10,4,0,6,0
3,0,0,1,0.82,0.8333,0.63,0.0,11,7,8,0,6,0
2,0,1,1,0.66,0.6212,0.61,0.194,15,3,5,1,3,0
1,0,1,2,0.24,0.2576,0.6,0.1045,4,28,12,1,4,0
3,0,0,1,0.8,0.7576,0.55,0.3284,20,31,7,0,6,0
2,0,1,1,0.34,0.303,0.57,0.3881,21,11,4,1,2,0
2,0,0,1,0.5,0.4848,1.0,0.1045,5,22,5,0,6,0
2,0,1,2,0.52,0.5,0.59,0.1343,23,10,5,0,1,0
1,0,1,1,0.26,0.2424,0.25,0.2537,11,15,2,0,1,0
3,0,0,1,0.78,0.7424,0.62,0.1045,18,8,7,1,6,1
4,0,0,3,0.42,0.4242,0.94,0.4627,20,28,10,1,6,0
1,0,1,1,0.16,0.1212,0.55,0.4478,22,12,1,0,2,0
4,0,0,1,0.54,0.5152,0.52,0.3582,1,23,9,1,6,0
2,0,1,1,0.64,0.6212,0.33,0.2537,22,2,6,0,3,0
4,0,0,1,0.34,0.3485,0.87,0.1045,22,4,12,0,6,0
3,0,1,1,0.68,0.6364,0.57,0.0,23,28,8,1,1,0
4,0,1,2,0.38,0.3939,0.5,0.2239,16,11,12,1,1,1
4,0,1,3,0.42,0.4242,0.88,0.2239,22,16,11,0,2,0
2,0,1,1,0.58,0.5455,0.83,0.1343,4,7,6,0,1,0
2,0,0,1,0.36,0.3788,0.37,0.0,6,8,4,1,6,0
1,0,1,2,0.34,0.303,0.53,0.2985,18,4,3,0,4,1
2,0,0,3,0.4,0.4091,0.82,0.2537,8,22,4,1,6,1
2,0,0,1,0.74,0.6515,0.35,0.2537,15,16,6,1,5,0
3,0,1,1,0.66,0.6212,0.74,0.0,23,9,8,1,3,0
4,0,0,3,0.46,0.4545,0.88,0.0896,23,20,11,0,6,0
4,0,0,1,0.54,0.5152,0.56,0.194,17,27,11,0,6,1
4,1,0,1,0.5,0.4848,0.34,0.2836,16,24,11,0,3,1
2,0,0,1,0.62,0.6061,0.69,0.1045,9,22,5,0,6,1
1,0,0,2,0.4,0.4091,0.87,0.2537,20,1,1,0,5,0
2,0,0,1,0.7,0.6515,0.61,0.1343,6,11,6,0,5,0
4,0,1,3,0.36,0.3333,0.87,0.2537,2,9,10,1,1,0
2,0,0,1,0.32,0.3182,0.33,0.1642,5,7,4,1,5,0
1,0,0,1,0.3,0.2576,0.42,0.4925,10,24,12,0,5,0
2,0,1,2,0.54,0.5152,0.88,0.1642,11,18,6,1,0,0
4,0,1,1,0.24,0.2576,0.7,0.0896,1,30,11,1,4,0
3,0,0,1,0.78,0.7727,0.7,0.1343,6,8,7,1,6,0
1,1,0,1,0.22,0.197,0.55,0.4478,10,20,2,1,0,0
4,0,1,1,0.34,0.3485,0.46,0.1045,20,1,12,0,3,0
2,0,1,2,0.42,0.4242,0.54,0.2836,21,22,3,0,1,0
3,0,0,1,0.76,0.6818,0.45,0.2836,20,2,7,0,5,0
3,0,1,1,0.56,0.5303,0.64,0.1045,22,11,9,1,1,0
2,0,1,3,0.64,0.5758,0.89,0.0,3,20,6,0,0,0
2,0,1,2,0.6,0.5758,0.78,0.0896,10,22,5,1,1,0
1,0,0,1,0.18,0.1667,0.4,0.2985,12,15,1,1,6,0
3,0,0,2,0.76,0.7121,0.62,0.0896,13,14,7,1,5,0
1,0,1,3,0.2,0.1818,0.86,0.3284,9,26,12,1,2,1
2,0,1,2,0.3,0.303,0.39,0.1642,21,25,3,0,4,0
2,0,1,1,0.62,0.6212,0.38,0.2836,0,3,6,0,4,0
1,0,1,2,0.28,0.2424,0.56,0.4478,11,27,12,1,3,0
4,0,0,1,0.34,0.3485,0.76,0.0896,9,26,11,0,5,1
4,0,0,2,0.5,0.4848,0.59,0.4478,14,28,10,1,6,0
2,0,1,1,0.72,0.6515,0.42,0.0896,14,16,5,1,2,0
1,1,0,1,0.26,0.2424,0.35,0.2836,10,2,1,1,0,0
1,1,0,1,0.28,0.2576,0.45,0.3284,5,2,1,1,0,0
3,0,1,1,0.7,0.6515,0.54,0.1642,13,21,9,1,4,0
3,0,1,1,0.76,0.6818,0.45,0.1045,11,12,7,1,3,0
2,0,1,2,0.56,0.5303,0.64,0.4627,12,12,4,0,1,0
1,1,0,2,0.26,0.2576,0.87,0.1642,2,25,12,1,1,0
2,0,1,1,0.62,0.6212,0.38,0.2985,18,9,5,0,0,1
3,0,1,2,0.64,0.5758,0.89,0.0896,7,31,8,1,4,1
2,0,1,1,0.56,0.5303,0.26,0.2239,13,25,4,1,2,0
2,0,1,1,0.58,0.5455,0.49,0.4478,8,13,6,0,0,1
1,0,1,1,0.6,0.6212,0.4,0.2239,16,1,2,1,2,1
1,0,1,1,0.34,0.2879,0.36,0.5224,6,18,1,1,2,0
